Genre,GenreImage,Movie1,Image1,Metacritic,IMDB,Rotten Tomatoes,Movie2,"Image, link",Metacritic,IMDB,Rotten Tomatoes,Movie3,"Image, link",Metacritic,IMDB,Rotten Tomatoes
Action-Adventure,https://s3-us-west-2.amazonaws.com/flx-editorial-wordpress/wp-content/uploads/2017/06/12085359/600Raiders2.jpg,Inception (2010),https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%,Guardians of the Galaxy (2014),https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_.jpg,76,8/10,91%,Black Panther (2018),https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_.jpg,88,7.3/10,97%
Animation,https://www.enricocasarosa.com/wp-content/uploads/2019/07/Two-Popular-Types-of-Animation-Techniques-Used-For-Asian-and-Western-Animated-Movies-1040x510.jpg,Spider-Man: Into the Spider-Verse (2018),https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%,Coco (2017),https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_.jpg,81,8.4/10,97%,Zootopia (2016),https://i.ytimg.com/vi/CoSQ4BUqa4k/maxresdefault.jpg,78,8/10,98%
Comedy,https://infotakers.com/wp-content/uploads/2019/08/PicsArt_08-25-02.49.04.png,Monty Python and the Holy Grail (1975),https://s3.amazonaws.com/webassets.ticketmob.com/LS/images/ShowPosters/98C6A9B3-B297-CA31-2C11F7814A1207E0.jpg,93,8.2/10,97%,Deadpool (2016),https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,65,8/10,85%,3 Idiots (2009),https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,67,8.4/10,100%
Crime,https://s.studiobinder.com/wp-content/uploads/2019/11/73-Best-Crime-Movies-Featured-StudioBinder-min.jpg,Parasite (2019),https://www.indiewire.com/wp-content/uploads/2019/08/parasite.jpeg,96,8.6/10,99%, Joker (2019),https://newslinemagazine.com/wp-content/uploads/2019/11/Joker.gif,59,8.6/10,68%,Catch Me if You Can (2002),https://www.emulation-innovation.be/wp-content/uploads/2015/12/Conterfa%C3%A7on-copie-avocat-propri%C3%A9t%C3%A9-intellectuelle-brevet-marque-auteur1.jpg,75,8.1/10,96%
Documentary,https://mediad.publicbroadcasting.net/p/shared/npr/styles/x_large/nprshared/202002/802228775.jpg,American Factory (2019),https://supchina.com/wp-content/uploads/2019/09/American-Factory.jpg,86,7.5/10,98%,RBG (2018),https://m.media-amazon.com/images/M/MV5BNTE4Nzc0NDU3Nl5BMl5BanBnXkFtZTgwODIzMTQzNTM@._V1_.jpg,71,7.5/10,95%,Won't You Be My Neighbor? (2018),https://m.media-amazon.com/images/M/MV5BMjM1NDg1MjUzNF5BMl5BanBnXkFtZTgwNTAxNjIzNTM@._V1_.jpg,85,8.4/10,98%
Drama,https://media1.popsugar-assets.com/files/thumbor/PkKCDYWvSjTfu1jlarIBLKrbpxA/fit-in/550x550/filters:format_auto-!!-:strip_icc-!!-/2011/12/51/1/192/1922283/90984b3042e07cb0_DRAMA.jpg,Little Women (2019),https://img.cinemablend.com/filter:scale/quill/6/6/9/c/5/9/669c5937259ec48b4e6b53075359b5690848e0ad.jpg?mw=600,91,8.1/10,95%,The Godfather (1972),https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,100,9.2/10,98,Moonlight (2016),https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_.jpg,99,7.4/10,98%
Family,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/classic-movies-kids-1555098156.jpg?crop=0.502xw:1.00xh;0.245xw,0&resize=640:*",Frozen (2013),https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Frozen_%282013_film%29_poster.jpg/220px-Frozen_%282013_film%29_poster.jpg,74,7.5/10,90%,The Incredibles (2004),https://images-na.ssl-images-amazon.com/images/I/716RrNAAMQL._SY445_.jpg,90,8/10,97%,Moana (2016),https://upload.wikimedia.org/wikipedia/en/thumb/2/26/Moana_Teaser_Poster.jpg/220px-Moana_Teaser_Poster.jpg,81,7.6/10,96%
Fantasy,https://in.bookmyshow.com/discover/wp-content/uploads/2018/09/7-Movies-Similar-to-The-House-With-The-Clock-In-Its-Walls_960x540.jpg,Harry Potter and the Philosopher's Stone (2001),https://cdn11.bigcommerce.com/s-ydriczk/images/stencil/1280x1280/products/84605/93507/Harry-Potter-and-the-philosophers-stone-original-movie-poster-buy-now-at-starstills__45891.1568388994.jpg?c=2&imbypass=on,64,7.6/10,81%,The Fellowship of the Ring (2001),https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,92,8.8/10,91%,The Princess Bride (1987),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5992/5992900_so.jpg,77,8.1/10,97%
History,https://thumbs-prod.si-cdn.com/h6g6R0mmIUmVvAexNBZ2s3oogvw=/800x600/filters:no_upscale():focal(792x380:793x381)/https://public-media.si-cdn.com/filer/79/e1/79e18094-cb58-4e03-ad8a-5def44c589a6/movies5.jpg,Dunkirk (2017),https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,94,7.9/10,93%,Hidden Figures (2016),https://resizing.flixster.com/_9UR2lvXTFuv_UhYfTq0xpXj634=/fit-in/278x400/v1.bTsxMjIwMzE0NTtqOzE3MjQxOzEyMDA7NTQwOzgwMA,74,7.8/10,93%,Selma (2014),https://pics.filmaffinity.com/Selma-229375599-large.jpg,85,7.5/10,99%
Horror,https://s3-us-west-2.amazonaws.com/flx-editorial-wordpress/wp-content/uploads/2018/10/18164731/700Horror.jpg,It (2017),https://m.media-amazon.com/images/M/MV5BZDVkZmI0YzAtNzdjYi00ZjhhLWE1ODEtMWMzMWMzNDA0NmQ4XkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_.jpg,69,7.3/10,86%,Get Out (2017),https://upload.wikimedia.org/wikipedia/en/a/a3/Get_Out_poster.png,84,7.7/10,98%,The Shining (1980),https://resizing.flixster.com/KZgXO_d31g0S4ZBt82GwVoS8Tjo=/206x305/v1.bTsxMTE2ODAzMjtqOzE4Mzk5OzEyMDA7ODAwOzEyMDA,66,8.4/10,85%
