Genre,GenreImage,Show1,Image1,imdb,Show2,Image2,imdb,Show3,Image3,imdb
Action-Adventure,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F6%2F2019%2F10%2Faction-shows-2000.jpg&q=85,Band of Brothers (2001),https://www.hbo.com/content/dam/hbodata/series/band-of-brothers/episodes/band-of-brothers-1-3000x1688.jpg/_jcr_content/renditions/cq5dam.web.1200.675.jpeg,9.5/10,Leyla and Mecnun (2011–2014),https://www.flixwatch.co/wp-content/uploads/80126599.jpg,9.1/10,Fullmetal Alchemist: Brotherhood (2009–2012),https://www.syfy.com/sites/syfy/files/styles/1200x680/public/2019/04/full_metal_alchemist.png,9.1/10
Comedy,https://steemitimages.com/DQmPZFhNRYL1xmqRbGJo7xYeQwyaNRGS47TniV6UEmLMkrX/image.png,The Filthy Frank Show (2011–2017),https://i.ytimg.com/vi/3_U2Mm-PZX8/maxresdefault.jpg,9.5/10,Flames (2018– ),https://m.media-amazon.com/images/M/MV5BODNiZjFkYzAtNGFjNy00ZGU1LWI2ZmItZWU2MGFhNjM1ODdlXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_.jpg,9.3/10,Rick and Morty (2013– ),https://cdn.mos.cms.futurecdn.net/XWRZCcWsDjdG29nQYJuDpb.png,9.3/10
Crime,https://www.indiewire.com/wp-content/uploads/2017/05/crime-shows.jpg,Koombiyo (2017–2018),https://pbs.twimg.com/media/DYhDRMxWsAErKD8.jpg,9.6/10,Breaking Bad (2008–2013),https://images.amcnetworks.com/amc.com/wp-content/uploads/2012/06/BB_S5B_004_L.jpg,9.5/10,Sherlock (2010– ),https://ichef.bbci.co.uk/images/ic/1200x675/p04pxlg4.jpg,9.1/10
Drama,https://cinemaprobe.com/wp-content/uploads/2017/11/American-Teen-Drama-1.jpg,The Sopranos (1999–2007),https://www.hbo.com/content/dam/hbodata/series/the-sopranos/190110-sopranos20th-samplingKA-1080x1920.jpg/_jcr_content/renditions/cq5dam.web.1200.675.jpeg,9.2/10,Flames (2018– ),https://m.media-amazon.com/images/M/MV5BODNiZjFkYzAtNGFjNy00ZGU1LWI2ZmItZWU2MGFhNjM1ODdlXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_.jpg,9.3/10,Sahsiyet (2018),https://i.ytimg.com/vi/oCGeihTyE2Q/maxresdefault.jpg,9.2/10
Fantasy,https://telltaletv.com/wp-content/uploads/2017/12/scifi-and-fantasy-2017.jpg,Game of Thrones (2011–2019),https://static1.srcdn.com/wordpress/wp-content/uploads/2019/05/Game-of-Thrones-Season-8-Finale-Cast-Iron-Throne.jpg?q=50&fit=crop&w=960&h=500,9.3/10,Avatar: The Last Airbender (2005–2008),https://static1.cbrimages.com/wordpress/wp-content/uploads/2019/06/Avatar-Last-Airbender.jpg,9.2/10,Critical Role (2015– ),https://miro.medium.com/max/2560/1*-AVpjr1IOaFSxIk8wBqPNA.jpeg,9.3/10
Historical,https://static.parade.com/wp-content/uploads/2017/08/The-Crown-Claire-Foy-FTR.jpg,Chernobyl (2019),https://www.hbo.com/content/dam/hbodata/series/chernobyl/key-art/chernobyl-ka-1920.jpg/_jcr_content/renditions/cq5dam.web.1200.675.jpeg,9.4/10,The World at War (1973–1976),https://res.cloudinary.com/uktv/image/upload/v1435848736/isnkswtqbntlgks20plp.jpg,9.2/10,The Vietnam War (2017),https://occ-0-990-987.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABfY-6x0SeMlz9dW1-L5qpk504jFgLXid0ucJsX7AtqVie2MQeWc4pTvNhwPTHDQ-dtST47BG1GTxWAwPYfrpRgcbbC13.jpg?r=042,9.1/10
Horror,https://cdn1us.denofgeek.com/sites/denofgeekus/files/styles/og-image/public/2019/10/best-horror-tv-show.jpg?itok=ncJHJqvl,The Twilight Zone (1959–1964),https://media4.s-nbcnews.com/i/streams/2014/July/140701/1D274906264077-today-twilight-zone-140630-tease.jpg,9.0/10,The Promised Neverland (2019– ),https://www.monstersandcritics.com/wp-content/uploads/2019/12/The-Promised-Neverland-Season-2-release-date-claimed-to-be-in-late-2020.jpg,8.8/10,Stranger Things (2016– ),https://occ-0-987-990.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABVQ3r-RD5ggW7SMOGIC0ATHOhcyr_oN1n19NDrSHuMXXlN9ZaODS8c51TbtPn_S0anR2qRN9S4qAVcNYrhN2d8MEgpHY.jpg?r=3a8,8.8/10
Mystery,https://i.pinimg.com/originals/93/40/7f/93407f5f9268f2333216edb125c23718.jpg,Death Note (2006–2007),https://www.japanator.com/ul/34028-Death%20Note%20Cover.jpg,9.0/10,The Outsider (2020– ),https://www.hbo.com/content/dam/hbodata/series/the-outsider/key-art/s01-ka/the-outsider-s01-ka-1920.jpg/_jcr_content/renditions/cq5dam.web.1200.675.jpeg,8.9/10,Gravity Falls (2012–2016),https://www.tvinsider.com/wp-content/uploads/2016/02/142020_0026.jpg,8.9/10
Political,https://hiddenremote.com/files/2015/08/house-of-cards.jpg,Arthdal Chronicles (2019– ),https://d263ao8qih4miy.cloudfront.net/wp-content/uploads/2019/07/arthdal-08-00090.jpg,8.2/10,Frankie Boyle's New World Order (2017– ),https://ichef.bbci.co.uk/images/ic/1200x675/p07y9wm0.jpg,7.4/10,You Got Trumped: The First 100 Days (2016– ),https://i.ytimg.com/vi/TL9nxq82uSc/maxresdefault.jpg,9.2/10
Romance,https://633987.smushcdn.com/907311/wp-content/uploads/2018/05/freaks-and-geeks-teen-romance-1300x649.jpg?lossy=1&strip=1&webp=1,College Romance (2018– ),https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABWYpniPnnUHa7hzut9aoM-fOXK4e5tKUi2dupkoAPMY6LNqsC2FAw4AtowBmWsj2xdo-1-3aWDbn2VoKryo9PHdsNacx.jpg?r=47e,9.1/10,Friends (1994–2004),https://gritdaily.com/wp-content/uploads/2020/02/friends-reunion-hbo-grit-daily-1280x768.jpg,8.9/10,Pride and Prejudice (1995),https://studybreaks.com/wp-content/uploads/2018/08/pride-and-prejudice-2005.jpg,8.9/10
