Genre,GenreImage,Movie1,Image1,Metacritic,IMDB,Rotten Tomatoes,Movie2,Image2,Metacritic,IMDB,Rotten Tomatoes,Movie3,Image3,Metacritic,IMDB,Rotten Tomatoes
Action-Adventure,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,a,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,420%,bob,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%,Inception,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%
Animation,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,b,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%,Spider-Man: Into the Spider-Verse,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%,Spider-Man: Into the Spider-Verse,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%
Comedy,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,c,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/VFPt_image_charge_plane_horizontal.svg/1200px-VFPt_image_charge_plane_horizontal.svg.png,21,4.3/10,69.00%,Monty Python and the Holy Grail (1975),https://s3.amazonaws.com/webassets.ticketmob.com/LS/images/ShowPosters/98C6A9B3-B297-CA31-2C11F7814A1207E0.jpg,93,8.2/10,97%,Electric field,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/VFPt_image_charge_plane_horizontal.svg/1200px-VFPt_image_charge_plane_horizontal.svg.png,21,4.3/10,69.00%
Crime,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,d,https://s3.amazonaws.com/webassets.ticketmob.com/LS/images/ShowPosters/98C6A9B3-B297-CA31-2C11F7814A1207E0.jpg,93,8.2/10,97%,Electric field,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/VFPt_image_charge_plane_horizontal.svg/1200px-VFPt_image_charge_plane_horizontal.svg.png,21,4.3/10,69.00%,Monty Python and the Holy Grail (1975),https://s3.amazonaws.com/webassets.ticketmob.com/LS/images/ShowPosters/98C6A9B3-B297-CA31-2C11F7814A1207E0.jpg,93,8.2/10,97%
Documentary,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,Electric field,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%,Inception,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%,Inception,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%
Drama,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,f,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%,Spider-Man: Into the Spider-Verse,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%,Spider-Man: Into the Spider-Verse,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%
Family,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,g,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/VFPt_image_charge_plane_horizontal.svg/1200px-VFPt_image_charge_plane_horizontal.svg.png,21,4.3/10,69.00%,Monty Python and the Holy Grail (1975),https://s3.amazonaws.com/webassets.ticketmob.com/LS/images/ShowPosters/98C6A9B3-B297-CA31-2C11F7814A1207E0.jpg,93,8.2/10,97%,Electric field,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/VFPt_image_charge_plane_horizontal.svg/1200px-VFPt_image_charge_plane_horizontal.svg.png,21,4.3/10,69.00%
Fantasy,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,Monty Python and the Holy Grail (1975),https://s3.amazonaws.com/webassets.ticketmob.com/LS/images/ShowPosters/98C6A9B3-B297-CA31-2C11F7814A1207E0.jpg,93,8.2/10,97%,Electric field,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/VFPt_image_charge_plane_horizontal.svg/1200px-VFPt_image_charge_plane_horizontal.svg.png,21,4.3/10,69.00%,Monty Python and the Holy Grail (1975),https://s3.amazonaws.com/webassets.ticketmob.com/LS/images/ShowPosters/98C6A9B3-B297-CA31-2C11F7814A1207E0.jpg,93,8.2/10,97%
History,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,Inception,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%,Inception,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%,Inception,https://is2-ssl.mzstatic.com/image/thumb/Video20/v4/fe/dc/f0/fedcf039-7cc9-89b1-b992-00b0d47a229e/pr_source.lsr/268x0w.png,74,8.8/10,87%
Horror,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/reference_guide/cat_weight_ref_guide/1800x1200_cat_weight_ref_guide.jpg,Spider-Man: Into the Spider-Verse,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%,Spider-Man: Into the Spider-Verse,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%,Spider-Man: Into the Spider-Verse,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,87,8.4/10,97%
